gamma,test,train
1e-09,0.6114130434782609,0.6114130434782609
1e-08,0.6114130434782609,0.6114130434782609
1e-07,0.6114130434782609,0.6114130434782609
1e-06,0.6114130434782609,0.6114130434782609
1e-05,0.6114130434782609,0.6114130434782609
0.0001,0.8021739130434783,0.8037364130434783
0.001,0.8991847826086957,0.904483695652174
0.01,0.9309782608695653,0.9422554347826086
0.1,0.9108695652173914,0.9731657608695652
1.0,0.7839673913043479,0.9947690217391305
10.0,0.7407608695652174,0.9978940217391304
100.0,0.713858695652174,0.9985733695652174
1000.0,0.6858695652173913,0.9992527173913043
