base_estimator__max_depth,train,validation
1,0.8560549813007746,0.8539103982241516
2,0.8718243833708572,0.8666337774028001
3,0.8813875848118824,0.8698250063599506
4,0.8923494869409014,0.8651419272636325
5,0.9071967563103579,0.8591742690887078
6,0.926188449536997,0.8511338316099746
7,0.9518732568978099,0.8419337856680524
8,0.9742426527071204,0.8366285842481463
9,0.9799204536285704,0.8287540357509734
10,0.9799411747226442,0.8292517713938542
11,0.9799411747226442,0.8249825989602956
12,0.9799411747226442,0.8218745291758041
13,0.9799411747226442,0.8207145256979576
14,0.9799411747226442,0.8175232452171561
15,0.9799411747226442,0.8193468217957924
16,0.9799411747226442,0.8115966428047757
17,0.9799411747226442,0.8138347443299832
18,0.9799411747226442,0.8122182155427534
19,0.9799411747226442,0.8089435010964877
20,0.9799411747226442,0.8093172450733193
21,0.9799411747226442,0.8091513045681082
22,0.9799411747226442,0.8029764955544749
23,0.9799411747226442,0.8064159311128787
24,0.9799411747226442,0.809483134054879
25,0.9799411747226442,0.8071621824989187
26,0.9799411747226442,0.8067892972496031
27,0.9799411747226442,0.8038054595748655
28,0.9799411747226442,0.8073284664951357
29,0.9799411747226442,0.8034741968482553
