base_estimator__max_depth,train,test
1,0.8801630434782609,0.8736413043478262
2,0.8939538043478261,0.8793478260869566
3,0.9184782608695651,0.8741847826086957
4,0.9499320652173913,0.8717391304347826
5,0.9743206521739131,0.8660326086956521
6,0.975,0.8597826086956522
7,0.975,0.8592391304347826
8,0.975,0.8532608695652174
9,0.975,0.8548913043478261
10,0.975,0.8527173913043476
11,0.975,0.8489130434782608
12,0.975,0.847554347826087
13,0.975,0.8442934782608695
14,0.975,0.8407608695652173
15,0.975,0.8432065217391305
16,0.975,0.8355978260869567
17,0.975,0.8383152173913043
18,0.975,0.8407608695652173
19,0.975,0.8394021739130434
20,0.975,0.8429347826086957
21,0.975,0.8434782608695652
22,0.975,0.8418478260869564
23,0.975,0.8394021739130435
24,0.975,0.8372282608695653
25,0.975,0.8350543478260869
26,0.975,0.8350543478260869
27,0.975,0.8358695652173912
28,0.975,0.8339673913043478
29,0.975,0.8391304347826086
