n_estimators,train,test
1,0.8251792382152026,0.8248994226130864
11,0.8428654338098778,0.8423061041572073
21,0.8463777848572882,0.8439225470716855
31,0.8497658383253113,0.8471966947577906
41,0.8520660171781327,0.8493932252839436
51,0.8534958360069365,0.8510096510238716
61,0.8547806179124293,0.85142403857404
71,0.8552882911583601,0.8518800314723635
81,0.8556198533545134,0.8513412915905887
91,0.856324414567365,0.8513412400669379
101,0.8570393127098008,0.8516727604118028
111,0.8573812225707442,0.8514655408748931
121,0.8586452715734373,0.8515070603502964
131,0.8589560858375027,0.8518386150442622
141,0.8591322312399381,0.8514657297949466
151,0.859795342749998,0.8508025860579147
161,0.8601061656022282,0.8501394079717823
171,0.8602823045635402,0.8503467133814434
181,0.8608210905826782,0.8504710485384994
191,0.8612873227139819,0.8496421703908605
201,0.861712130906988,0.8491448469371873
211,0.8617639357892134,0.8491447954135364
221,0.8622819856849896,0.8497250032470633
231,0.8626342550194493,0.8497665055479166
241,0.8630176038479787,0.8498908922286234
251,0.8634838456409677,0.8499737250848263
261,0.8636807089169153,0.8500151415129276
271,0.8639293577517181,0.8491034992072871
281,0.8645095805914009,0.8496008913591616
291,0.8648618531464223,0.8489792499229829
301,0.8654109782421857,0.8493521695213989
311,0.8658150535323914,0.8488962796703774
321,0.8662813049870655,0.848689077308018
331,0.8665092413159592,0.8481502172043911
341,0.8665506867246684,0.8487719445133216
351,0.8669133209002474,0.8483989390421538
361,0.8672863016670957,0.8482746382341986
371,0.8676696623043515,0.8478602163349296
381,0.8680530433384976,0.8477773834787266
391,0.8683535120848143,0.8479016327630309
401,0.8689440858098486,0.8469900763301421
411,0.8696071801435796,0.8469071576011877
421,0.8697522342432192,0.8466999552388282
431,0.8700216192013841,0.8467828396186821
441,0.8699490878574819,0.8464098856711653
451,0.8705914879351532,0.8456639949506822
461,0.870954097419759,0.8461611981825031
471,0.8710784379399691,0.8460368630254473
481,0.8714099872538756,0.8458297121867389
491,0.871700080423867,0.845539591095425
