n_neighbors,test,train
1,0.7893825641818313,0.9756310368624204
2,0.8099391269532026,0.8915828150483366
3,0.8178553151476313,0.8931265837917375
4,0.8216670863697402,0.8740312679184002
5,0.8202997431331317,0.8745907417524743
6,0.8225787630244813,0.8652244486752606
7,0.8217084856232914,0.8640329310164698
8,0.8247752592015336,0.8588317055970315
9,0.8255630644120775,0.8581271497517827
10,0.82560453236383,0.8545008122900757
11,0.8243198502379212,0.8543142977524386
12,0.8258118549480417,0.8520349323164604
13,0.8255629613647756,0.8514339744269364
14,0.8271792325337508,0.8494861057023566
15,0.8275936544330198,0.8489266018097066
16,0.8269718069022371,0.847185930070097
17,0.8279664538095837,0.8472066672669796
18,0.8265156079093098,0.8460773268461773
19,0.8275931220219597,0.8456629103323049
20,0.8285879921984606,0.8444402788267864
21,0.8290852297793823,0.8442434037421123
22,0.8287124647519191,0.8437357541136341
23,0.8286709109274148,0.8434352510146595
24,0.8284219829950483,0.8430104771743118
25,0.8292922603962383,0.8427100127220776
26,0.8290436931294284,0.841891494079985
27,0.8280075610957793,0.84145634036923
28,0.8276758518308608,0.8407414325651091
29,0.8280076469685309,0.8400783725840366
30,0.8274688212140046,0.8395706392209539
31,0.8284635883432033,0.8390629713426261
32,0.8279247454141266,0.838472404058715
33,0.8288779243697209,0.8381926445977461
34,0.8282978539325964,0.8377989405897827
35,0.8277590453526203,0.8377782227162707
36,0.8271372836945894,0.8370114917800745
37,0.8276346930210142,0.8373845111936633
38,0.8273444345332976,0.836296592564118
39,0.8273029150578944,0.8366488812219481
40,0.8266812736217155,0.8362033487143066
41,0.8278002900352186,0.8362551535965321
42,0.827510289165757,0.8358199977387363
43,0.8274689414358569,0.8356334778334963
44,0.8277176804481698,0.8355402329101643
45,0.8267642266997708,0.8351465170934749
46,0.8272616532007457,0.8348874765795384
47,0.82717866577359,0.8348978489353017
48,0.8276760407509143,0.8344730493304603
49,0.828214729109038,0.8344212294189466
50,0.8280905141738343,0.8345352212008462
