n_neighbors,train,test
1,0.9993783446338551,0.7878889965876315
4,0.8735650282724524,0.82162573863984
7,0.8643748859652772,0.8272209409292076
10,0.8574744546118293,0.8317794959484163
13,0.8547184031012206,0.8336443343842012
16,0.8520142155164688,0.8350952661572266
19,0.8515583224617906,0.8360069771610682
22,0.849206375226443,0.8371260450982223
25,0.8485329192721547,0.8375404154738405
28,0.8468130104939213,0.838037481309259
31,0.8465332306360613,0.8376645445362925
34,0.8458494087671333,0.8384518688594275
37,0.8454453420650919,0.8372916764615275
40,0.8440984011714601,0.8371257874799675
43,0.8439326184631024,0.837540226553787
46,0.8433420458115887,0.8369185335939571
49,0.8432280894558681,0.836462609393835
