n_neighbors,train,test
1,0.9999689172853687,0.7148664324487367
4,0.8251274666121147,0.7774879085798687
7,0.8114820743749652,0.7708567460023551
10,0.8019602957987171,0.7854861224266351
13,0.7994840305870917,0.785444723173084
16,0.7964482604092955,0.7874753475431269
19,0.7961892424392911,0.7895889593403256
22,0.7939305336861523,0.7899203938124388
25,0.7938269228481806,0.789340409248066
28,0.7917650945473185,0.7884701318468761
31,0.7906668271794625,0.788221444358214
34,0.7894545862795569,0.7871025309920128
37,0.7896410965231117,0.7877655201580918
40,0.7887189734841706,0.786149266163667
43,0.7886257307078799,0.7861079184337669
46,0.7876414540484028,0.7849473825448605
49,0.7877450648863745,0.7854862254739371
