n_neighbors,train,test
1,0.9997961956521738,0.7910326086956522
4,0.8517663043478262,0.7559782608695652
7,0.8129076086956522,0.7565217391304349
10,0.7954483695652175,0.7480978260869564
13,0.7876358695652174,0.7459239130434783
16,0.7771059782608696,0.7480978260869564
19,0.773913043478261,0.7543478260869565
22,0.7664402173913043,0.7521739130434782
25,0.7622282608695652,0.7418478260869565
28,0.7567934782608695,0.7432065217391305
31,0.7556385869565218,0.74375
34,0.7536684782608696,0.7402173913043478
37,0.7502038043478262,0.7402173913043477
40,0.7478260869565216,0.7377717391304348
43,0.7466032608695652,0.7355978260869565
46,0.7480978260869564,0.7366847826086956
49,0.745991847826087,0.7377717391304348
