n_neighbors,train,test
1,0.9999689172853687,0.7190934327739796
4,0.8275933820119089,0.7796014688534163
7,0.8138236267106175,0.7734262133014745
10,0.8027063013467574,0.7859420638013077
13,0.8005097762727307,0.7863981940960336
16,0.7972875119541883,0.7888432060162449
19,0.7971320758371002,0.789796384971839
22,0.7944278624878548,0.7900450209368504
25,0.7937543957983608,0.7904594943597704
28,0.7921795282375201,0.7893403920735157
31,0.7919412388762336,0.7888017208899423
34,0.7901487912394537,0.7882213928345629
37,0.7896721899729486,0.7877654858089911
40,0.7886153862636516,0.7867708904252956
43,0.7883978040406714,0.7864808552067333
46,0.7872891718316961,0.7856934278362965
49,0.7871026733968677,0.7855276419020385
