n_neighbors,train,test
1,0.9997961956521738,0.8114130434782609
4,0.8662364130434783,0.7796195652173913
7,0.8418478260869566,0.7785326086956521
10,0.8178668478260869,0.7720108695652174
13,0.8103940217391303,0.7684782608695653
16,0.797078804347826,0.7649456521739131
19,0.7913043478260869,0.7630434782608695
22,0.7794836956521739,0.754891304347826
25,0.7764266304347827,0.7510869565217392
28,0.7692255434782609,0.7510869565217391
31,0.7672554347826088,0.7502717391304348
34,0.764945652173913,0.7470108695652173
37,0.7637228260869565,0.7480978260869564
40,0.7610054347826087,0.7459239130434783
43,0.7584239130434783,0.747554347826087
46,0.7561820652173914,0.7451086956521739
49,0.7546195652173913,0.74375
