n_neighbors,train,test
1,0.9999689172853687,0.7266364265771872
4,0.8321729177125441,0.7837460485116642
7,0.8173152738402832,0.7764101883726148
10,0.8050478848145062,0.7888431888416946
13,0.8032554339571647,0.7879727740441022
16,0.7987173264889098,0.790874002131791
19,0.7984375702485023,0.7913714458073166
22,0.7949977194128975,0.7909568865116449
25,0.7943035423645355,0.7909983372888469
28,0.7922624276431032,0.7894234138497721
31,0.7918479907323398,0.7892162630110636
34,0.7896721770907017,0.7873098192271237
37,0.7891334136154957,0.787434120035079
40,0.7875792650016878,0.7862737387171255
43,0.7873824081668636,0.7862737043680249
46,0.785921510917511,0.7846573988499491
49,0.7854138140541277,0.7844086770121864
