KNN__n_neighbors,train,test
1,0.9999689172853687,0.7873101283690296
4,0.8731298434296011,0.8175642151069491
7,0.8619814514539182,0.8215838928479805
10,0.8523871694453028,0.82307584603445
13,0.8488540876421335,0.8238632390557863
16,0.8450412002166106,0.8240704757672462
19,0.8422541228879611,0.8256867641107716
22,0.8400575945933724,0.8262668517224464
25,0.8392805095512628,0.8255210125256142
28,0.8370736647239809,0.8247334992824259
31,0.8364519921815067,0.8249822382947389
34,0.8356541881923644,0.8244019617630105
37,0.8353329940578919,0.8244018587157086
40,0.8337063162472228,0.8245675931263156
43,0.8340793292196885,0.8257280603170207
46,0.8332608159451986,0.8257693736978202
49,0.8330225040399799,0.8263497017531997
