KNN__n_neighbors,train,test
1,0.9993783446338551,0.7875576308137194
4,0.8736271679372212,0.8222472770287169
7,0.8651312295164224,0.8270549832494464
10,0.8555680001638623,0.8312816572582333
13,0.854998101371517,0.8338104122858144
16,0.8544281735941164,0.8364630215830428
19,0.8499212959128108,0.8345977881326005
22,0.8478283580593032,0.836131037525319
25,0.8475175437952378,0.837830364819651
28,0.8474138846488405,0.8386181356810944
31,0.8457769310992598,0.8383691047014258
34,0.8445542802703707,0.8364212960130356
37,0.8438808200220003,0.8376233170282446
40,0.8428654563538096,0.8363384116331816
43,0.8424199313608124,0.8356340575626522
46,0.8420054525827467,0.8348466301922155
49,0.8433213075411858,0.8367528507070011
