KNN__n_neighbors,train,test
1,0.9834918478260869,0.8548913043478261
4,0.9832201086956521,0.8733695652173914
7,0.9897418478260869,0.8796195652173913
10,0.9841032608695652,0.8904891304347826
13,0.9860054347826086,0.8904891304347826
16,0.9909646739130435,0.8888586956521738
19,0.9868206521739131,0.8899456521739131
22,0.9896059782608695,0.8828804347826088
25,0.9851902173913045,0.8836956521739131
28,0.9887228260869565,0.8839673913043479
31,0.9836956521739131,0.8888586956521738
34,0.9891304347826086,0.8861413043478261
37,0.9766983695652174,0.8959239130434783
40,0.9863451086956522,0.8967391304347826
43,0.9850543478260869,0.8842391304347826
46,0.9867527173913044,0.8891304347826086
49,0.9906929347826088,0.8801630434782609
