Model Timing Curve: boositng timing n_estimators - n_estimators - adult,test,train
1,0.002151999999114196,0.14688500000011118
2,0.003537000000505941,0.33093100000041886
5,0.0076640000006591436,0.8950129999993806
10,0.015923999999358784,1.6305030000003171
20,0.03137600000081875,3.682745000000068
30,0.04447500000060245,4.689399999999296
45,0.061992999999347376,6.400051000000531
60,0.07462699999996403,7.430813000000853
80,0.09018400000059046,8.129660000000513
100,0.10588000000097963,9.476126999999906
