Model Timing Curve: decision_tree - max_depth - adult,test,train
1,0.0007050000000106138,0.018710999999996147
2,0.0007689999999911379,0.02651000000000181
3,0.0006970000000023902,0.032956000000012864
4,0.0008400000000108321,0.04355100000000789
5,0.0009059999999863066,0.04933900000000335
6,0.0009159999999894808,0.05823300000000131
7,0.0010540000000105465,0.06816599999999085
8,0.0009829999999908523,0.07246299999999906
9,0.0009799999999984266,0.08001400000000558
10,0.0011129999999752727,0.07988000000000284
11,0.0016940000000147393,0.09070199999999318
12,0.00111599999999612,0.09827099999998268
13,0.0010389999999915744,0.10023200000000543
14,0.0010939999999948213,0.10483099999999013
15,0.0012120000000095388,0.110841999999991
16,0.001540000000005648,0.12542000000001963
17,0.001161999999993668,0.12481199999999149
18,0.0011969999999905667,0.12996499999999855
19,0.0012060000000246873,0.13380800000001614
20,0.0012289999999950396,0.13099100000002295
21,0.0012429999999881147,0.13330799999999954
22,0.001278000000013435,0.14009300000000735
23,0.00153499999998985,0.13912499999997863
24,0.0016379999999855954,0.13726199999999267
25,0.0015379999999822758,0.1410850000000039
26,0.0017190000000084638,0.14548000000002048
27,0.0015620000000069467,0.1374569999999835
28,0.001886000000013155,0.1474280000000192
29,0.0015129999999885513,0.14526299999999992
30,0.0015089999999986503,0.1537620000000004
31,0.0015949999999804731,0.14295300000000566
32,0.0014590000000112013,0.14602500000000873
33,0.0015369999999848005,0.15313900000001013
34,0.001517000000006874,0.1434370000000058
35,0.0014820000000099753,0.14107799999999315
36,0.0015120000000194977,0.15121900000002597
37,0.0020820000000014716,0.1439009999999996
38,0.0015220000000226719,0.13698200000001748
39,0.0014970000000005257,0.14215699999999742
40,0.0016080000000044947,0.14303099999997926
41,0.001840000000015607,0.14129800000000614
42,0.001909000000011929,0.14645400000000564
43,0.0017569999999977881,0.14934900000000084
44,0.0018939999999929569,0.14950600000000236
45,0.0016620000000102664,0.15007899999997676
46,0.0015180000000043492,0.14510500000000093
47,0.0015350000000182717,0.14536300000000324
48,0.0022470000000112123,0.1479439999999954
49,0.001471000000009326,0.1393410000000017
